"en","woeid","zh","prov","long","lat","low","high","code","humidity","visibility","pressure","rising"
"beijing",2151330,"北京","北京市",116.4666667,39.9,"64","72","30","38","16.1","1000","0"
"shanghai",2151849,"上海","上海市",121.4833333,31.23333333,"72","82","32","41","16.1","1005","0"
"tianjin",2159908,"天津","天津市",117.1833333,39.15,"62","74","11","41","16.1","1003","0"
"chongqing",20070171,"重庆","重庆市",106.5333333,29.53333333,"64","83","30","67","16.1","956","0"
"harbin",2141166,"哈尔滨","黑龙江省",126.6833333,45.75,"46","62","39","64","16.1","991","0"
"changchun",2137321,"长春","吉林省",125.3166667,43.86666667,"44","62","26","64","16.1","982","0"
"shenyang",2148332,"沈阳","辽宁省",123.4,41.83333333,"48","69","26","39","16.1","1002","0"
"hohhot",2149760,"呼和浩特","内蒙古自治区",111.8,40.81666667,"64","83","30","14","16.1","880","0"
"shijiazhuang",2171287,"石家庄","河北省",114.4666667,38.03333333,"63","84","30","38","16.1","993","0"
"wulumuqi",26198317,"乌鲁木齐","新疆维吾尔自治区",87.6,43.8,"46","51","26","64","10","1013.54","0"
"lanzhou",2145605,"兰州","甘肃省",103.8166667,36.05,"55","75","26","26","16.1","811","0"
"xining",2138941,"西宁","青海省",101.75,36.63333333,"49","57","26","70","16.1","756","0"
"xian",2157249,"西安","陕西省",108.9,34.26666667,"62","96","30","29","16.1","951","0"
"yinchuan",2150551,"银川","宁夏回族自治区",106.2666667,38.33333333,"65","92","26","12","16.1","879","0"
"zhengzhou",2172736,"郑州","河南省",113.7,34.8,"72","100","34","29","16.1","988","0"
"jinan",2168327,"济南","山东省",117,36.63333333,"62","96","23","22","16.1","992","0"
"taiyuan",2154547,"太原","山西省",112.5666667,37.86666667,"65","93","28","23","16.1","898","0"
"hefei",2127866,"合肥","安徽省",117.3,31.85,"73","91","34","56","16.1","1001","0"
"wuhan",2163866,"武汉","湖北省",114.35,30.61666667,"74","90","32","64","16.1","999","0"
"changsha",26198213,"长沙","湖南省",113,28.18333333,"71","84","30","65","16.1","998","0"
"nanjing",2137081,"南京","江苏省",118.8333333,32.03333333,"72","91","32","58","16.1","999","0"
"chengdu",2158433,"成都","四川省",104.0833333,30.65,"72","90","30","41","16.1","946","0"
"guiyang",2146703,"贵阳","贵州省",106.7,26.58333333,"63","79","28","65","16.1","876","0"
"kunming",2160693,"昆明","云南省",102.6833333,25,"61","78","28","46","16.1","795","0"
"nanning",2166473,"南宁","广西壮族自治区",108.3333333,22.8,"81","90","47","81","16.1","988","0"
"lasa",26198235,"拉萨","西藏自治区",91.16666667,29.66666667,"42","62","12","47","6","1002.37","0"
"hangzhou",2132574,"杭州","浙江省",120.15,30.23333333,"75","86","30","63","16.1","1002","0"
"nanchang",26198151,"南昌","江西省",115.8666667,28.68333333,"74","87","30","66","16.1","1001","0"
"guangzhou",2161838,"广州","广东省",113.25,23.13333333,"84","92","4","63","16.1","1000","0"
"fuzhou",2139963,"福州","福建省",119.3,26.08333333,"73","80","12","90","14.6","987","0"
"taipei",2306179,"台北","台湾省",121.5166667,25.05,"75","85","47","94","7.9","982","0"
"haikou",2162779,"海口","海南省",110.3333333,20.03333333,"81","96","26","59","16.1","1000","0"
"hongkong",2165352,"香港","香港特别行政区",114.1666667,22.3,"84","89","4","79","16.1","996","0"
"macau",1887901,"澳门","澳门特别行政区",113.5,22.2,"82","89","4","82","16.1","1002","0"
